Event Name,Date,Description,Inventor,Epoch,Special
Birth of FTP,4/16/1971,"The backbone of the Internet! Even though young upstarts such as P2P networks superseeded FTP, it’s FTP that forms the link to many cloud-based services and applications. It’s also deemed more secure than P2P, which is an essential trait for online banking or other sensitive traffic. ",Lorraine Lawson,Pre,Main
Birth of HTTP,10/10/1989,Hypertext is structured text that uses logical links (hyperlinks) between nodes containing text. HTTP is the protocol to exchange or transfer hypertex,Tim Berners-Lee,Pre,Main
Vlib,2/5/1991,WWW Virtual Library (VL) is the oldest catalogue of the Web,Tim Berners-Lee,Early,Directory Listing
 World Wide Web Wanderer,6/2/1993,"The first known web robot, the Perl-based World Wide Web Wanderer, and uses it to generate an index of the web called the Wandex. However, the World Wide Web Wanderer is intended only to measure the size of the web rather than to facilitate search.",Matthew Gray,Early,First Crawler
W3Catalog,9/2/1993,"It is the world's first web search engine. It does not rely on a crawler and indexer but rather on already existing high-quality lists of websites. One of its main drawbacks is that the bot accesses each page hundreds of times each day, causing performance degradation.",Oscar Nierstrasz ,Early,First Indexer
Aliweb,10/15/1993,"If there was first there is must be a second. It does not use a web robot, but instead depends on being notified by website administrators of the existence at each site of an index file in a particular format. The absence of a bot means that less bandwidth is used; however, most website administrators are not aware of the need to submit their data",Martijn Koster,Early,"Admin, Social"
JumpStation,12/1/1993,"First web search engine to use a crawler and indexer. It is the first WWW resource-discovery tool to combine the three essential features of a web search engine (crawling, indexing, and searching)",Jonathon Fletcher,Early,"Crawling, Indexing and Searching."
Infoseek,1/5/1994,"Infoseek was bought by The Walt Disney Company in 1998, and the technology was merged with that of the Disney-acquired Starwave to form the Go.com network. Since then it has been replaced with Yahoo! search and is no longer in use.",Steve Kirsch,Early,Comercial First
Altavista is launched,1/16/1994,"This is a first among web search engines in many ways: it has unlimited bandwidth, allows natural language queries, has search tips, and allows people to add or delete their domains in 24 hours.",Paul Flaherty,Wild West,"Unlimited Bandwith, Natural Language, Opt Out"
World-Wide Web Worm,3/20/1994,It supports Perl-based regular expressions.,Oliver McBryan,Wild West,Regular Expression
WebCrawler,4/26/1994,"Unlike its predecessors, it allows users to search for any word in any webpage, which has become the standard for all major search engines since.",Brian Pinkerton,Wild West,Any word in Any Page
Yahoo!,04/30/1194,"Yahoo! launches its web directory. Yahoo! would not build its own web search engine until 2002, relying until then on outsourcing the search function to other companies.
",Jerry Yang and David Filo,Wild West,Interface to other engines
